ID,BoutNumber,Start_Date,Start_Time,End_Date,End_Time,Duration
25,38,11/26/2018,01:18:00,11/26/2018,05:25:00,247
25,39,11/26/2018,21:08:00,11/27/2018,06:17:00,549
25,40,11/28/2018,02:02:00,11/28/2018,10:17:00,495
25,41,11/28/2018,23:02:00,11/29/2018,07:13:00,491
25,42,11/30/2018,22:33:00,12/1/2018,08:14:00,581
25,43,12/2/2018,05:52:00,12/2/2018,09:11:00,199
25,44,12/2/2018,22:47:00,12/3/2018,06:32:00,465
25,45,12/3/2018,14:07:00,12/4/2018,07:55:00,1068
25,46,12/4/2018,22:07:00,12/5/2018,07:16:00,549
25,47,12/5/2018,21:46:00,12/6/2018,08:52:00,666
25,48,12/6/2018,23:34:00,12/7/2018,07:10:00,456
25,49,12/7/2018,22:52:00,12/8/2018,08:29:00,577
25,50,12/8/2018,22:43:00,12/9/2018,13:36:00,893
25,51,12/9/2018,23:34:00,12/10/2018,08:58:00,564
25,52,12/10/2018,23:50:00,12/11/2018,07:44:00,474
25,53,12/12/2018,02:06:00,12/12/2018,07:28:00,322
25,54,12/12/2018,22:17:00,12/13/2018,07:56:00,579
25,55,12/14/2018,05:28:00,12/14/2018,09:51:00,263
27,1,11/14/2018,00:40:00,11/14/2018,06:27:00,347
27,2,11/14/2018,22:01:00,11/15/2018,07:00:00,539
27,3,11/16/2018,00:16:00,11/16/2018,07:03:00,407
27,4,11/16/2018,22:51:00,11/17/2018,09:05:00,614
27,5,11/17/2018,22:46:00,11/18/2018,06:35:00,469
27,6,11/19/2018,01:15:00,11/19/2018,08:18:00,423
27,7,11/20/2018,00:01:00,11/20/2018,12:20:00,739
27,8,11/21/2018,00:39:00,11/21/2018,07:50:00,431
27,9,11/21/2018,23:27:00,11/22/2018,06:58:00,451
27,10,11/22/2018,22:43:00,11/23/2018,08:01:00,558
27,11,11/24/2018,01:46:00,11/24/2018,08:28:00,402
27,12,11/25/2018,00:33:00,11/25/2018,09:07:00,514
27,13,11/26/2018,00:39:00,11/26/2018,07:27:00,408
27,14,11/26/2018,23:52:00,11/27/2018,08:00:00,488
27,15,11/27/2018,23:22:00,11/28/2018,08:19:00,537
27,16,11/28/2018,21:31:00,11/29/2018,06:20:00,529
27,17,11/29/2018,13:59:00,11/30/2018,06:19:00,980
27,18,11/30/2018,21:45:00,12/1/2018,10:03:00,738
27,19,12/2/2018,01:08:00,12/2/2018,09:01:00,473
27,20,12/2/2018,22:41:00,12/3/2018,06:59:00,498
27,21,12/3/2018,23:31:00,12/4/2018,06:48:00,437
27,22,12/4/2018,23:59:00,12/5/2018,09:22:00,563
27,23,12/6/2018,01:14:00,12/6/2018,10:31:00,557
27,24,12/7/2018,01:06:00,12/7/2018,06:36:00,330
27,25,12/8/2018,00:10:00,12/8/2018,09:48:00,578
27,26,12/8/2018,22:42:00,12/9/2018,08:20:00,578
27,27,12/9/2018,23:48:00,12/10/2018,08:52:00,544
27,28,12/10/2018,23:15:00,12/11/2018,08:25:00,550
27,29,12/12/2018,03:26:00,12/12/2018,07:59:00,273
27,30,12/12/2018,23:40:00,12/13/2018,09:12:00,572
27,31,12/14/2018,00:39:00,12/14/2018,08:44:00,485
31,1,10/16/2018,23:46:00,10/17/2018,07:28:00,462
31,2,10/17/2018,23:42:00,10/18/2018,08:24:00,522
31,3,10/19/2018,00:52:00,10/19/2018,09:08:00,496
31,4,10/20/2018,00:57:00,10/20/2018,09:09:00,492
31,5,10/21/2018,01:38:00,10/21/2018,09:08:00,450
31,6,10/22/2018,01:31:00,10/22/2018,08:29:00,418
31,7,10/23/2018,00:37:00,10/23/2018,09:37:00,540
31,8,10/24/2018,00:47:00,10/24/2018,09:28:00,521
31,9,10/25/2018,01:03:00,10/25/2018,08:15:00,432
31,10,10/26/2018,00:45:00,10/26/2018,08:23:00,458
31,11,10/26/2018,23:56:00,10/27/2018,07:37:00,461
31,12,10/28/2018,00:52:00,10/28/2018,07:39:00,407
31,13,10/31/2018,00:20:00,10/31/2018,07:17:00,417
31,14,10/31/2018,22:45:00,11/1/2018,08:47:00,602
31,15,11/1/2018,23:13:00,11/2/2018,08:43:00,570
31,16,11/2/2018,23:49:00,11/3/2018,07:59:00,490
31,17,11/3/2018,23:23:00,11/4/2018,09:52:00,629
31,18,11/4/2018,23:40:00,11/5/2018,08:06:00,506
